Reference,Full Reference,Experiment Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adamsen et al., 2005","Adamsen et al., 2005. Temporal Changes in Soil and Biomass Nitrogen for Irrigated Wheat Grown
under Free-Air Carbon Dioxide Enrichment (FACE). Agron. J. 97:160–168 (2005)",MaricopaFACE_wheat_05_ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adamsen et al., 2005","Adamsen et al., 2005. Temporal Changes in Soil and Biomass Nitrogen for Irrigated Wheat Grown
under Free-Air Carbon Dioxide Enrichment (FACE). Agron. J. 97:160–168 (2005)",MaricopaFACE_wheat_05_i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggeng et al.,2004","S Asseng, P.D Jamieson, B Kimball, P Pinter, K Sayre, J.W Bowden, S.M Howden, Simulated wheat growth affected by rising temperature, increased water deficit and elevated atmospheric CO2,
Field Crops Research, Volume 85, Issues 2-3, 2004, Pages 85-102, ISSN 0378-4290,",MaricopaFACE_wheat_93_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrell et al., 2005","Agrell J, Kopper B, McDonald EP, Lindroth RL (2005) CO2 and O3 effects on host plant preferences of the forest tent caterpillar (Malacosoma disstria). Global Change Biology 11:588–599",FACTS II FACE3_pt_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrell et al., 2005","Agrell J, Kopper B, McDonald EP, Lindroth RL (2005) CO2 and O3 effects on host plant preferences of the forest tent caterpillar (Malacosoma disstria). Global Change Biology 11:588–599",FACTS II FACE4_bp_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainsworth et al 2003,"Ainsworth, E. A., Rogers, A., Blum, H., NoÈsberger, J., & Long, S. P. (2003) Variation in acclimation of photosynthesis in Trifolium repens after eight years of exposure to Free Air CO2 Enrichment (FACE). Journal of Experimental Botany 54:2769-2774.",SwissFACE_trifolium2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainsworth et al. 2004,"Elizabeth A. Ainsworth, Alistair Rogersa, Randall Nelsona, Stephen P. Long",SoyFACEsoy2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_cwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011a,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Effects of elevated CO2, warming and drought episodes on plant carbon uptake in a temperate heath ecosystem are controlled by soil water status. Plant, Cell & Environment 34:1207–1222. doi: 10.1111/j.136",Brandbjerg_wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_cwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert et al 2011b,"Albert KR, Ro-Poulsen H, Mikkelsen TN, et al (2011) Interactive effects of elevated CO2, warming, and drought on photosynthesis of Deschampsia flexuosa in a temperate heath ecosystem. J Exp Bot 62:4253–4266. doi: 10.1093/jxb/err133",Brandbjerg_wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali et al., 2013","Ali AA, Medlyn BE, Crous KY, Reich PB. 2013. A trait‐based ecosystem model suggests that long‐term responsiveness to rising atmospheric CO2 concentration is greater in slow‐growing than fast‐growing plants. Functional Ecology, 27(4): 1011-1022.",BioCON_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali et al., 2013","Ali AA, Medlyn BE, Crous KY, Reich PB. 2013. A trait‐based ecosystem model suggests that long‐term responsiveness to rising atmospheric CO2 concentration is greater in slow‐growing than fast‐growing plants. Functional Ecology, 27(4): 1011-1022.",BioCON_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali et al., 2013","Ali AA, Medlyn BE, Crous KY, Reich PB. 2013. A trait‐based ecosystem model suggests that long‐term responsiveness to rising atmospheric CO2 concentration is greater in slow‐growing than fast‐growing plants. Functional Ecology, 27(4): 1011-1022.",BioCON_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allard et al. 2003,"Allard V, Newton PCD, Lieffering M, Clark H, Matthew C, Soussana J-F, Gray YS (2003) Nitrogen cycling in grazed pastures at elevated CO2: N returns by ruminants. Global Change Biology, 9, 1731–1742.",New Zealand FACE_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
